tag,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,emotion_vector
fun to play,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0
optimism,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0
beautifully painful,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0
deep and meaningful,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
summer fun,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0
perfectly sad,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0
love me,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
love again,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0 1.0 0.0 1.0 1.0 0.0 1.0 0.0
feel good goodies,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0
hottie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
life is good,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 1.0
oh love,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
jazzy fat nasty,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0
flawless,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
old good wave,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
love you,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
too violent for me,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
cool trip,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
lethal weapons,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
feel so in love,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
confident vibes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0
broken hearted,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0
makes me happier,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 1.0
glorious,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0
exuberant,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0
transphobia,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
happy love,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0
my optimist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
excitement,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0
ass kicker,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
scaremongering,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
happy feelings,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0
love fats,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0
something romantic,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 1.0
confidence boost,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0
blessings men,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 1.0
grown and sexy,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0
happy times,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
completely in love with,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
love love,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0
happy birthday,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0
oh yeah baby,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
feel good vibes,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 1.0
pain in my heart,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0
sad maniac,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
upbeat good times,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0
all hope is gone,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0
very danceable,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0
breaking up is hard to do,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0
the infinite sadness,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0
excited,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0
negative vibes,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0
cool mood blue,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0
delight,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0
toxic crow,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0
sunny morning,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
beautiful and soulful,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0
disappointment,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0
optimist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
good for thought,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
delightfully evil,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0
happy retirement mix,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0 1.0 0.0 1.0 1.0 1.0 0.0 1.0
jump for my love,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
keep hope alive,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0
bittersweet moments,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0
beautiful depressive songs,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0
young love,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0 1.0 0.0 1.0 1.0 0.0 1.0 0.0
tired of being alone,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0 0.0 1.0 1.0 0.0 1.0 0.0 0.0
sad emotive solos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0
happy christmas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
sweet stuff,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0
what are you so afraid of,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
happy morning,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
straight to hell,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0 0.0 1.0 1.0 0.0 1.0 0.0 0.0
sunny days,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0
unexpected fun,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0
